x,y,lon__long,temp_min__temp_min,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,wind_speed__vitesse_vent,identifier__identifiant,period_group__groupe_periode,period_value__valeur_periode,total_precip__precip_totale,station_id__id_station,total_precip_units__precip_totale_unites,temp_max_units__temp_max_unites,province__province,rain_units__pluie_unites,snow_units__neige_unites,temp_min_units__temp_min_unites,pressure_sea_level_units__pression_niveau_mer_unite,snow__neige,date,pressure_station__pression_station,wind_speed_units__vitesse_vent_unites,lat__lat,pressure_station_units__pression_station_unites,temp_max__temp_max,pressure_sea_level__pression_niveau_mer,rain__pluie
-73.75,45.4667,-73.75,,,C,,7025250.1872.01,Monthly,Jan,55.7,7025250,mm,C,QC,mm,mm,C,hPa,41.4,1872-01,,kph,45.4667,hPa,,,14.3
-73.75,45.4667,-73.75,,,C,,7025250.1872.02,Monthly,Feb,97.2,7025250,mm,C,QC,mm,mm,C,hPa,94.6,1872-02,,kph,45.4667,hPa,,,2.6
-73.75,45.4667,-73.75,,,C,,7025250.1872.03,Monthly,Mar,90,7025250,mm,C,QC,mm,mm,C,hPa,87,1872-03,,kph,45.4667,hPa,,,3
-73.75,45.4667,-73.75,,,C,,7025250.1872.04,Monthly,Apr,39.7,7025250,mm,C,QC,mm,mm,C,hPa,24.6,1872-04,,kph,45.4667,hPa,,,15.1
-73.75,45.4667,-73.75,,,C,,7025250.1872.05,Monthly,May,47.1,7025250,mm,C,QC,mm,mm,C,hPa,0,1872-05,,kph,45.4667,hPa,,,47.1
-73.75,45.4667,-73.75,,,C,,7025250.1872.06,Monthly,Jun,55.2,7025250,mm,C,QC,mm,mm,C,hPa,0,1872-06,,kph,45.4667,hPa,,,55.2
-73.75,45.4667,-73.75,,,C,,7025250.1872.07,Monthly,Jul,82.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1872-07,,kph,45.4667,hPa,,,82.7
-73.75,45.4667,-73.75,,,C,,7025250.1872.08,Monthly,Aug,80.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1872-08,,kph,45.4667,hPa,,,80.8
-73.75,45.4667,-73.75,,,C,,7025250.1872.09,Monthly,Sep,155,7025250,mm,C,QC,mm,mm,C,hPa,0,1872-09,,kph,45.4667,hPa,,,155
-73.75,45.4667,-73.75,,,C,,7025250.1872.10,Monthly,Oct,147.1,7025250,mm,C,QC,mm,mm,C,hPa,0.4,1872-10,,kph,45.4667,hPa,,,146.8
-73.75,45.4667,-73.75,,,C,,7025250.1872.11,Monthly,Nov,101.3,7025250,mm,C,QC,mm,mm,C,hPa,31.7,1872-11,,kph,45.4667,hPa,,,69.6
-73.75,45.4667,-73.75,,,C,,7025250.1872.12,Monthly,Dec,128.9,7025250,mm,C,QC,mm,mm,C,hPa,128.3,1872-12,,kph,45.4667,hPa,,,0.5
-73.75,45.4667,-73.75,,,C,,7025250.1873.01,Monthly,Jan,148.8,7025250,mm,C,QC,mm,mm,C,hPa,122.5,1873-01,,kph,45.4667,hPa,,,26.2
-73.75,45.4667,-73.75,,,C,,7025250.1873.02,Monthly,Feb,51.8,7025250,mm,C,QC,mm,mm,C,hPa,49.3,1873-02,,kph,45.4667,hPa,,,2.5
-73.75,45.4667,-73.75,,,C,,7025250.1873.03,Monthly,Mar,142.9,7025250,mm,C,QC,mm,mm,C,hPa,100.3,1873-03,,kph,45.4667,hPa,,,42.6
-73.75,45.4667,-73.75,,,C,,7025250.1873.04,Monthly,Apr,73.7,7025250,mm,C,QC,mm,mm,C,hPa,0.2,1873-04,,kph,45.4667,hPa,,,73.6
-73.75,45.4667,-73.75,,,C,,7025250.1873.05,Monthly,May,37.5,7025250,mm,C,QC,mm,mm,C,hPa,0.6,1873-05,,kph,45.4667,hPa,,,37
-73.75,45.4667,-73.75,,,C,,7025250.1873.06,Monthly,Jun,72.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1873-06,,kph,45.4667,hPa,,,72.8
-73.75,45.4667,-73.75,,,C,,7025250.1873.07,Monthly,Jul,63.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1873-07,,kph,45.4667,hPa,,,63.4
