x,y,date,pressure_sea_level__pression_niveau_mer,total_precip__precip_totale,pressure_station__pression_station,period_value__valeur_periode,lat__lat,temp_max__temp_max,temp_min_units__temp_min_unites,temp_mean__temp_moyenne,snow__neige,snow_units__neige_unites,rain_units__pluie_unites,station_id__id_station,period_group__groupe_periode,temp_max_units__temp_max_unites,wind_speed__vitesse_vent,rain__pluie,wind_speed_units__vitesse_vent_unites,lon__long,identifier__identifiant,temp_mean_units__temp_moyenne_unites,pressure_station_units__pression_station_unites,province__province,pressure_sea_level_units__pression_niveau_mer_unite,total_precip_units__precip_totale_unites,temp_min__temp_min
-123.1819,49.195,1896-01,,-9999.9,,Jan,49.195,,C,,-9999.9,mm,mm,1108447,Monthly,C,,-9999.9,kph,-123.1819,1108447.1896.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-02,,119.5,,Feb,49.195,,C,,9.9,mm,mm,1108447,Monthly,C,,109.7,kph,-123.1819,1108447.1896.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-03,,35,,Mar,49.195,,C,,6.2,mm,mm,1108447,Monthly,C,,28.8,kph,-123.1819,1108447.1896.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-04,,85,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,85,kph,-123.1819,1108447.1896.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-05,,51.1,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,51.1,kph,-123.1819,1108447.1896.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-06,,40.1,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,40.1,kph,-123.1819,1108447.1896.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-07,,0,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,0,kph,-123.1819,1108447.1896.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-08,,6.7,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,6.7,kph,-123.1819,1108447.1896.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-09,,25.4,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,25.4,kph,-123.1819,1108447.1896.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-10,,94.9,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,94.9,kph,-123.1819,1108447.1896.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-11,,211.3,,Nov,49.195,,C,,16.1,mm,mm,1108447,Monthly,C,,195.2,kph,-123.1819,1108447.1896.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1896-12,,212.2,,Dec,49.195,,C,,0,mm,mm,1108447,Monthly,C,,212.2,kph,-123.1819,1108447.1896.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-01,,126,,Jan,49.195,,C,,12.3,mm,mm,1108447,Monthly,C,,113.7,kph,-123.1819,1108447.1897.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-02,,100.5,,Feb,49.195,,C,,0,mm,mm,1108447,Monthly,C,,100.5,kph,-123.1819,1108447.1897.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-03,,89.4,,Mar,49.195,,C,,21.8,mm,mm,1108447,Monthly,C,,67.6,kph,-123.1819,1108447.1897.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-04,,54.1,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,54.1,kph,-123.1819,1108447.1897.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-05,,47.6,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,47.6,kph,-123.1819,1108447.1897.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-06,,38.6,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,38.6,kph,-123.1819,1108447.1897.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-07,,74.9,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,74.9,kph,-123.1819,1108447.1897.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-08,,35.3,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,35.3,kph,-123.1819,1108447.1897.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-09,,36.9,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,36.9,kph,-123.1819,1108447.1897.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-10,,32.6,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,32.6,kph,-123.1819,1108447.1897.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-11,,201.2,,Nov,49.195,,C,,7.4,mm,mm,1108447,Monthly,C,,193.8,kph,-123.1819,1108447.1897.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1897-12,,223.6,,Dec,49.195,,C,,3.2,mm,mm,1108447,Monthly,C,,220.3,kph,-123.1819,1108447.1897.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-01,,102.4,,Jan,49.195,,C,,5.7,mm,mm,1108447,Monthly,C,,96.8,kph,-123.1819,1108447.1898.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-02,,152.7,,Feb,49.195,,C,,1.3,mm,mm,1108447,Monthly,C,,151.5,kph,-123.1819,1108447.1898.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-03,,38.5,,Mar,49.195,,C,,10,mm,mm,1108447,Monthly,C,,28.6,kph,-123.1819,1108447.1898.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-04,,45.4,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,45.4,kph,-123.1819,1108447.1898.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-05,,55.8,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,55.8,kph,-123.1819,1108447.1898.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-06,,103.8,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,103.8,kph,-123.1819,1108447.1898.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-07,,9,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,9,kph,-123.1819,1108447.1898.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-08,,4.6,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,4.6,kph,-123.1819,1108447.1898.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-09,,73.9,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,73.9,kph,-123.1819,1108447.1898.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-10,,78.1,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,78.1,kph,-123.1819,1108447.1898.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-11,,157.8,,Nov,49.195,,C,,12.4,mm,mm,1108447,Monthly,C,,145.4,kph,-123.1819,1108447.1898.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1898-12,,63.8,,Dec,49.195,,C,,12.4,mm,mm,1108447,Monthly,C,,51.4,kph,-123.1819,1108447.1898.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-01,,161.8,,Jan,49.195,,C,,10,mm,mm,1108447,Monthly,C,,151.8,kph,-123.1819,1108447.1899.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-02,,125.5,,Feb,49.195,,C,,16.1,mm,mm,1108447,Monthly,C,,109.3,kph,-123.1819,1108447.1899.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-03,,57.6,,Mar,49.195,,C,,3.7,mm,mm,1108447,Monthly,C,,53.9,kph,-123.1819,1108447.1899.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-04,,72.9,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,72.9,kph,-123.1819,1108447.1899.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-05,,104,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,104,kph,-123.1819,1108447.1899.05,C,hPa,BC,hPa,mm,
