"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-01","1937","01","0.6","","-8.1","","-3.8","","6.1","","-16.1","","12.4","","","M","","M","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-02","1937","02","5.2","","-1.3","","2.0","","10.0","S","-7.8","","103.1","","","M","","M","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-03","1937","03","11.7","","2.9","","7.3","","17.2","","-1.1","S","59.7","","0.0","","59.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-04","1937","04","11.9","","4.8","","8.4","","16.1","","1.1","","114.0","","0.0","","114.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-05","1937","05","16.3","","6.6","","11.5","","20.6","","1.7","","44.2","","0.0","","44.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-06","1937","06","20.1","","10.4","","15.3","","26.1","S","7.8","S","100.6","","0.0","","100.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-07","1937","07","22.5","","11.6","","17.1","","27.8","","8.9","","1.8","","0.0","","1.8","","","","","","",""
 
"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-08","1937","08","20.6","","10.7","","15.7","","24.4","S","6.1","","58.4","","0.0","","58.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-09","1937","09","18.8","","9.0","","13.9","","25.0","","2.2","","43.7","","0.0","","43.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-10","1937","10","15.2","","6.4","","10.8","","17.2","S","2.2","","122.9","","0.0","","122.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-11","1937","11","9.7","","3.2","","6.5","","14.4","","-4.4","","177.0","","0.0","","177.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1937-12","1937","12","7.3","","0.6","","4.0","","12.8","","-8.9","","211.6","","","M","","M","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-01","1938","01","6.7","","-0.1","","3.3","","10.6","","-5.6","","","M","","M","109.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-02","1938","02","7.8","","0.1","","4.0","","12.2","","-4.4","","","M","","M","82.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-03","1938","03","10.0","","1.9","","6.0","","14.4","","-2.8","S","81.0","","0.0","","81.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-04","1938","04","13.8","","4.5","","9.2","","19.4","","-0.6","","61.2","","0.0","","61.2","","","","","","",""

